Phone timestamp;sensor timestamp [ns];channel 0
2026-07-18T02:14:07.000;900351534233872000;127
2026-07-18T02:14:07.007;900351534241825045;125
2026-07-18T02:14:07.015;900351534249778090;122
2026-07-18T02:14:07.023;900351534257731136;120
2026-07-18T02:14:07.031;900351534265684181;118
2026-07-18T02:14:07.039;900351534273637226;116
2026-07-18T02:14:07.047;900351534281590271;113
2026-07-18T02:14:07.055;900351534289543317;111
2026-07-18T02:14:07.063;900351534297496362;108
2026-07-18T02:14:07.071;900351534305449407;106
2026-07-18T02:14:07.079;900351534313402452;104
2026-07-18T02:14:07.087;900351534321355497;101
2026-07-18T02:14:07.095;900351534329308543;99
2026-07-18T02:14:07.103;900351534337261588;96
2026-07-18T02:14:07.111;900351534345214633;94
2026-07-18T02:14:07.119;900351534353167678;92
2026-07-18T02:14:07.127;900351534361120724;90
2026-07-18T02:14:07.135;900351534369073769;88
2026-07-18T02:14:07.143;900351534377026814;85
2026-07-18T02:14:07.151;900351534384979859;83
2026-07-18T02:14:07.159;900351534392932904;82
2026-07-18T02:14:07.167;900351534400885950;80
2026-07-18T02:14:07.174;900351534408838995;78
2026-07-18T02:14:07.182;900351534416792040;77
2026-07-18T02:14:07.190;900351534424745085;75
2026-07-18T02:14:07.198;900351534432698131;74
2026-07-18T02:14:07.206;900351534440651176;73
2026-07-18T02:14:07.214;900351534448604221;72
2026-07-18T02:14:07.222;900351534456557266;71
2026-07-18T02:14:07.230;900351534464510311;70
2026-07-18T02:14:07.238;900351534472463357;69
2026-07-18T02:14:07.246;900351534480416402;69
2026-07-18T02:14:07.254;900351534488369447;68
2026-07-18T02:14:07.262;900351534496322492;68
2026-07-18T02:14:07.270;900351534504275538;68
2026-07-18T02:14:07.278;900351534512228583;68
2026-07-18T02:14:07.286;900351534520181628;68
2026-07-18T02:14:07.294;900351534528134673;69
2026-07-18T02:14:07.302;900351534536087718;69
2026-07-18T02:14:07.310;900351534544040764;70
2026-07-18T02:14:07.318;900351534551993809;71
2026-07-18T02:14:07.326;900351534559946854;71
2026-07-18T02:14:07.334;900351534567899899;72
2026-07-18T02:14:07.341;900351534575852945;74
2026-07-18T02:14:07.349;900351534583805990;75
2026-07-18T02:14:07.357;900351534591759035;76
2026-07-18T02:14:07.365;900351534599712080;77
2026-07-18T02:14:07.373;900351534607665125;79
2026-07-18T02:14:07.381;900351534615618171;81
2026-07-18T02:14:07.389;900351534623571216;82
2026-07-18T02:14:07.397;900351534631524261;84
2026-07-18T02:14:07.405;900351534639477306;86
2026-07-18T02:14:07.413;900351534647430351;87
2026-07-18T02:14:07.421;900351534655383397;89
2026-07-18T02:14:07.429;900351534663336442;91
2026-07-18T02:14:07.437;900351534671289487;93
2026-07-18T02:14:07.445;900351534679242532;95
2026-07-18T02:14:07.453;900351534687195578;97
2026-07-18T02:14:07.461;900351534695148623;99
2026-07-18T02:14:07.469;900351534703101668;100
2026-07-18T02:14:07.477;900351534711054713;102
2026-07-18T02:14:07.485;900351534719007758;104
2026-07-18T02:14:07.493;900351534726960804;106
2026-07-18T02:14:07.501;900351534734913849;108
2026-07-18T02:14:07.508;900351534742866894;109
2026-07-18T02:14:07.516;900351534750819939;111
2026-07-18T02:14:07.524;900351534758772985;113
2026-07-18T02:14:07.532;900351534766726030;114
2026-07-18T02:14:07.540;900351534774679075;115
2026-07-18T02:14:07.548;900351534782632120;117
2026-07-18T02:14:07.556;900351534790585165;118
2026-07-18T02:14:07.564;900351534798538211;119
2026-07-18T02:14:07.572;900351534806491256;120
2026-07-18T02:14:07.580;900351534814444301;122
2026-07-18T02:14:07.588;900351534822397346;122
2026-07-18T02:14:07.596;900351534830350392;123
2026-07-18T02:14:07.604;900351534838303437;124
2026-07-18T02:14:07.612;900351534846256482;125
2026-07-18T02:14:07.620;900351534854209527;126
2026-07-18T02:14:07.628;900351534862162572;126
2026-07-18T02:14:07.636;900351534870115618;127
2026-07-18T02:14:07.644;900351534878068663;127
2026-07-18T02:14:07.652;900351534886021708;127
